State,Year,Number With Current Asthma,Percent With Current Asthma,State Abbreviation
Missouri,2016,463150,9.9,MO
Montana,2016,69403,8.5,MT
Nebraska,2016,118932,8.3,NE
Nevada,2016,179986,7.9,NV
New Hampshire,2016,121566,11.4,NH
New Jersey,2016,573506,8.2,NJ
New Mexico,2016,185678,11.8,NM
New York,2016,1474062,9.5,NY
North Carolina,2016,630864,8,NC
North Dakota,2016,53028,9,ND
Ohio,2016,873284,9.7,OH
Oklahoma,2016,293910,10,OK
Oregon,2016,335445,10.5,OR
Pennsylvania,2016,1070258,10.6,PA
Rhode Island,2016,90375,10.7,RI
South Carolina,2016,340518,8.8,SC
South Dakota,2016,40253,6.2,SD
Tennessee,2016,559423,10.9,TN
Texas,2016,1584264,7.6,TX
Utah,2016,175360,8.3,UT
Vermont,2016,51211,10.2,VT
Virginia,2016,560419,8.6,VA
Washington,2016,538758,9.6,WA
West Virginia,2016,171816,11.8,WV
Wisconsin,2016,381108,8.5,WI
Wyoming,2016,42717,9.5,WY
Guam,2016,5486,5.1,
Puerto Rico,2016,298918,10.7,
Virgin Islands,2016,5011,6.3,
Alabama,2015,370128,9.9,AL
Alaska,2015,50792,9.2,AK
Arizona,2015,479791,9.3,AZ
Arkansas,2015,226691,10.1,AR
California,2015,2290491,7.7,CA
Colorado,2015,375709,9,CO
Connecticut,2015,294997,10.5,CT
Delaware,2015,67950,9.2,DE
District of Columbia,2015,57793,10.6,
Florida,2015,1197036,7.4,FL
Georgia,2015,708933,9.2,GA
Hawaii,2015,111142,10,HI
Idaho,2015,110735,9.1,ID
Illinois,2015,828784,8.4,IL
Indiana,2015,512557,10.2,IN
Iowa,2015,181072,7.6,IA
Kansas,2015,188514,8.7,KS
Kentucky,2015,403499,11.9,KY
Louisiana,2015,288759,8.2,LA
Maine,2015,120034,11.2,ME
Maryland,2015,408914,8.8,MD
Massachusetts,2015,547096,10.2,MA
Michigan,2015,781517,10.2,MI
Minnesota,2015,310116,7.4,MN
Mississippi,2015,175845,7.8,MS
Missouri,2015,448562,9.6,MO
Montana,2015,71210,8.9,MT
Nebraska,2015,101854,7.2,NE
Nevada,2015,179450,8.1,NV
New Hampshire,2015,107224,10.1,NH
New Jersey,2015,501572,7.2,NJ
New Mexico,2015,155818,9.9,NM
New York,2015,1532508,9.9,NY
North Carolina,2015,633683,8.2,NC
North Dakota,2015,52567,9,ND
Ohio,2015,896185,10,OH
Oklahoma,2015,279781,9.5,OK
Oregon,2015,351437,11.2,OR
Pennsylvania,2015,1020306,10.2,PA
Rhode Island,2015,91992,11,RI
South Carolina,2015,309943,8.2,SC
South Dakota,2015,54406,8.4,SD
Tennessee,2015,455946,9,TN
Texas,2015,1528177,7.6,TX
Utah,2015,187377,9,UT
Vermont,2015,55265,11,VT
Virginia,2015,513676,7.9,VA
Washington,2015,516400,9.4,WA
West Virginia,2015,158528,10.8,WV
Wisconsin,2015,426296,9.5,WI
Wyoming,2015,35482,8,WY
Guam,2015,6921,6.5,
Puerto Rico,2015,285801,10.2,
Alabama,2014,353847,9.5,AL
Alaska,2014,44865,8.1,AK
Arizona,2014,484115,9.6,AZ
Arkansas,2014,197478,8.8,AR
California,2014,2279568,7.8,CA
Colorado,2014,342994,8.4,CO
Connecticut,2014,257311,9.2,CT
Delaware,2014,63855,8.8,DE
District of Columbia,2014,62346,11.5,
Florida,2014,1268162,8,FL
Georgia,2014,626931,8.3,GA
Hawaii,2014,102093,9.2,HI
Idaho,2014,103201,8.6,ID
Illinois,2014,898521,9.1,IL
Indiana,2014,532909,10.7,IN
Iowa,2014,201266,8.5,IA
Kansas,2014,189350,8.7,KS
Kentucky,2014,402690,11.9,KY
Louisiana,2014,270261,7.7,LA
Maine,2014,122881,11.6,ME
Maryland,2014,393571,8.5,MD
Massachusetts,2014,636176,12,MA
Michigan,2014,831656,10.9,MI
Minnesota,2014,350818,8.4,MN
Mississippi,2014,166117,7.4,MS
Missouri,2014,450530,9.7,MO
Montana,2014,76683,9.6,MT
Nebraska,2014,108805,7.7,NE
Nevada,2014,172343,8.1,NV
