Year,State,% Good Days,% Moderate Days,% Unhealthy for Sensitive Groups Days,% Unhealthy Days,% Very Unhealthy Days,% Hazardous Days,% Ozone Days,% PM2.5 Days,90th Percentile AQI,Median AQI
2018,Hawaii,0.82445,0.16596,0.00822,0.00137,0.0,0.0,0.13699,0.75744,51.25,32.25
2018,Idaho,0.72413,0.25876,0.01428,0.00254,0.00029,0.0,0.10081,0.88067,62.9,33.7
2018,Illinois,0.63183,0.35692,0.01005,0.0012,0.0,0.0,0.55181,0.43025,62.69565,44.86957
2018,Indiana,0.72035,0.27077,0.00858,0.0003,0.0,0.0,0.58452,0.41317,58.10811,40.56757
2018,Iowa,0.60024,0.39618,0.00358,0.0,0.0,0.0,0.24004,0.68449,60.6875,45.0
2018,Kansas,0.77327,0.22548,0.001,0.00025,0.0,0.0,0.46844,0.3263,55.90909,35.72727
2018,Kentucky,0.74066,0.25708,0.0019,0.00036,0.0,0.0,0.61054,0.38133,57.07407,41.74074
2018,Louisiana,0.71824,0.27689,0.00474,0.00012,0.0,0.0,0.4897,0.5047,59.36364,39.90909
2018,Maine,0.8686,0.12894,0.00191,0.00027,0.00027,0.0,0.65863,0.30639,52.1,37.2
2018,Maryland,0.71012,0.2796,0.00995,0.00034,0.0,0.0,0.62693,0.35639,63.75,42.9375
2018,Massachusetts,0.75046,0.24214,0.00741,0.0,0.0,0.0,0.58729,0.40266,56.69231,40.15385
2018,Michigan,0.77692,0.21025,0.012,0.00083,0.0,0.0,0.63365,0.32814,59.32143,38.35714
2018,Minnesota,0.76954,0.22854,0.00192,0.0,0.0,0.0,0.34482,0.61121,57.28571,37.09524
2018,Mississippi,0.68734,0.30932,0.00309,0.00025,0.0,0.0,0.41412,0.58588,59.0,42.54545
2018,Missouri,0.73523,0.25719,0.00745,0.00013,0.0,0.0,0.59131,0.3738,62.04762,41.2381
2018,Montana,0.75756,0.22559,0.01309,0.00376,0.0,0.0,0.25629,0.71635,60.68421,33.94737
2018,Nebraska,0.79228,0.2065,0.00122,0.0,0.0,0.0,0.24172,0.64382,52.77778,33.0
2018,Nevada,0.71048,0.25602,0.03105,0.00183,0.00061,0.0,0.58114,0.20959,66.77778,38.44444
2018,New Hampshire,0.86432,0.13293,0.00276,0.0,0.0,0.0,0.74976,0.24984,53.71429,38.0
2018,New Jersey,0.66165,0.32486,0.01211,0.00138,0.0,0.0,0.4521,0.51391,63.9375,42.9375
2018,New Mexico,0.73449,0.24504,0.0191,0.00137,0.0,0.0,0.48798,0.43324,64.0625,35.6875
2018,New York,0.80592,0.1846,0.00888,0.0005,0.0001,0.0,0.6502,0.3405,55.60714,37.0
2018,North Carolina,0.75976,0.23886,0.00137,0.0,0.0,0.0,0.61118,0.37518,58.02778,40.86111
2018,North Dakota,0.8145,0.18163,0.00332,0.00055,0.0,0.0,0.63396,0.3547,57.0,37.4
2018,Ohio,0.71639,0.27584,0.00763,0.00014,0.0,0.0,0.51259,0.40704,60.525,40.125
2018,Oklahoma,0.69599,0.29479,0.00885,0.00037,0.0,0.0,0.52921,0.38925,62.04,41.52
2018,Oregon,0.70021,0.26827,0.01794,0.01153,0.00205,0.0,0.11525,0.87971,71.04348,36.56522
2018,Pennsylvania,0.68394,0.30923,0.00646,0.00037,0.0,0.0,0.54067,0.45535,61.71795,41.79487
2018,Puerto Rico,0.72664,0.26191,0.00773,0.00372,0.0,0.0,0.01948,0.73111,50.85714,31.71429
2018,Rhode Island,0.75761,0.22482,0.01757,0.0,0.0,0.0,0.39547,0.59723,58.0,39.33333
2018,South Carolina,0.80761,0.19161,0.00079,0.0,0.0,0.0,0.48536,0.45401,53.33333,37.72222
2018,South Dakota,0.81695,0.1781,0.00412,0.0,0.0,0.00083,0.44016,0.47588,54.1,35.8
2018,Tennessee,0.73453,0.26196,0.00339,0.00012,0.0,0.0,0.42722,0.57135,59.08696,40.52174
2018,Texas,0.69754,0.28626,0.0145,0.00157,0.00013,0.0,0.50741,0.48578,62.71429,40.90476
2018,Utah,0.59363,0.37602,0.0278,0.00256,0.0,0.0,0.73076,0.24824,79.0,45.8
2018,Vermont,0.82767,0.17164,0.00068,0.0,0.0,0.0,0.40205,0.59726,52.0,32.0
